,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
359,Gazebo Penguins,Il tram delle 6,17,"['italian alternative', 'italian emo', 'italian indie pop', 'italian post-hardcore']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.292,0.765,9,-7.657,1,0.0627,0.000187,0.00502,0.083,0.534,95.438,5kzPzCgQJ8nG2moY50LuFN,spotify:track:5kzPzCgQJ8nG2moY50LuFN,https://api.spotify.com/v1/tracks/5kzPzCgQJ8nG2moY50LuFN,https://api.spotify.com/v1/audio-analysis/5kzPzCgQJ8nG2moY50LuFN,231587,4
360,Brunori Sas,Italian Dandy,41,"['folk rock italiano', 'italian adult pop', 'italian alternative', 'italian indie pop']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.467,0.411,9,-8.191,1,0.0494,0.686,0.0,0.0527,0.542,86.204,1qvYN7fglt4UzO4UZY6GsN,spotify:track:1qvYN7fglt4UzO4UZY6GsN,https://api.spotify.com/v1/tracks/1qvYN7fglt4UzO4UZY6GsN,https://api.spotify.com/v1/audio-analysis/1qvYN7fglt4UzO4UZY6GsN,296755,4
361,d4vd,Romantic Homicide,93,['bedroom pop'],"𝔬𝔫𝔢 𝔬𝔣 𝔱𝔥𝔬𝔰𝔢 𝔫𝔦𝔤𝔥𝔱𝔰 𝔞𝔤𝔞𝔦𝔫, 𝔥𝔲𝔥?",0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/audio-analysis/1xK59OXxi2TAAAbmZK0kBL,132631,4
362,Black Sabbath,Heaven and Hell - 2009 Remaster,63,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",𝔾𝔸𝕊,0.333,0.445,3,-16.343,0,0.0283,0.00858,0.0451,0.167,0.35,89.371,3HzWxmvpQU3QHQ59zw1X4V,spotify:track:3HzWxmvpQU3QHQ59zw1X4V,https://api.spotify.com/v1/tracks/3HzWxmvpQU3QHQ59zw1X4V,https://api.spotify.com/v1/audio-analysis/3HzWxmvpQU3QHQ59zw1X4V,417840,4
363,Hiroyuki Sawano,Xl-Tt,45,"['anime score', 'japanese soundtrack']",u fucking nerd,0.273,0.576,2,-11.07,1,0.059,0.0426,0.91,0.117,0.153,182.018,6eB5y7GZrfjCVpK1fjku3Q,spotify:track:6eB5y7GZrfjCVpK1fjku3Q,https://api.spotify.com/v1/tracks/6eB5y7GZrfjCVpK1fjku3Q,https://api.spotify.com/v1/audio-analysis/6eB5y7GZrfjCVpK1fjku3Q,397440,4
364,Thundercat,King Of The Hill,44,['afrofuturism'],december '22,0.544,0.464,8,-11.273,0,0.0325,0.739,0.757,0.0969,0.184,82.062,4rnSq8xRLFKhd8Sh7r6h39,spotify:track:4rnSq8xRLFKhd8Sh7r6h39,https://api.spotify.com/v1/tracks/4rnSq8xRLFKhd8Sh7r6h39,https://api.spotify.com/v1/audio-analysis/4rnSq8xRLFKhd8Sh7r6h39,171533,4
365,Motoi Sakuraba,Great Grey Wolf Sif,40,"['japanese vgm', 'video game music']",u fucking nerd,0.26,0.342,2,-10.683,1,0.0285,0.59,0.435,0.0999,0.0589,81.647,5sLwp9ZuxeGjKtwCq9wl1H,spotify:track:5sLwp9ZuxeGjKtwCq9wl1H,https://api.spotify.com/v1/tracks/5sLwp9ZuxeGjKtwCq9wl1H,https://api.spotify.com/v1/audio-analysis/5sLwp9ZuxeGjKtwCq9wl1H,202360,3
366,'68,What More Can I Say,30,['atlanta punk'],𝖑𝖆𝖘𝖙 𝖜𝖔𝖗𝖉𝖘,0.425,0.654,8,-11.398,1,0.0638,0.225,0.201,0.101,0.386,114.129,7IUHrcwTOkv82yoHbjTsuT,spotify:track:7IUHrcwTOkv82yoHbjTsuT,https://api.spotify.com/v1/tracks/7IUHrcwTOkv82yoHbjTsuT,https://api.spotify.com/v1/audio-analysis/7IUHrcwTOkv82yoHbjTsuT,242088,4
367,Beastie Boys,I Want Some,41,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']",march '22,0.223,0.986,2,-6.291,1,0.0884,2.94e-06,0.721,0.0733,0.516,175.741,1JaEF8ofVVnVPj2UuD2r4N,spotify:track:1JaEF8ofVVnVPj2UuD2r4N,https://api.spotify.com/v1/tracks/1JaEF8ofVVnVPj2UuD2r4N,https://api.spotify.com/v1/audio-analysis/1JaEF8ofVVnVPj2UuD2r4N,120267,4
368,Yung Lean,Ginseng Strip 2002,74,"['psychedelic hip hop', 'underground hip hop']",february '22,0.601,0.712,1,-9.433,1,0.0436,0.0848,0.0,0.461,0.389,114.97,7v3rmoy5jcn4h5UqwQyCM3,spotify:track:7v3rmoy5jcn4h5UqwQyCM3,https://api.spotify.com/v1/tracks/7v3rmoy5jcn4h5UqwQyCM3,https://api.spotify.com/v1/audio-analysis/7v3rmoy5jcn4h5UqwQyCM3,154000,4
369,Weather Report,Palladium,33,"['jazz', 'jazz funk', 'jazz fusion']",bassbassbassbassbass,0.453,0.783,9,-8.232,1,0.0376,0.327,0.0268,0.756,0.742,116.129,6I7TNJP6ZqPxGNUBeNiy14,spotify:track:6I7TNJP6ZqPxGNUBeNiy14,https://api.spotify.com/v1/tracks/6I7TNJP6ZqPxGNUBeNiy14,https://api.spotify.com/v1/audio-analysis/6I7TNJP6ZqPxGNUBeNiy14,285960,4
370,Belle and Sebastian,A Space Boy Dream,28,"['alternative rock', 'anti-folk', 'art rock', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'melancholia', 'pop rock', 'scottish indie', 'scottish rock', 'singer-songwriter', 'twee pop']",space cowboy,0.601,0.453,2,-19.44,1,0.0874,0.622,0.781,0.0969,0.193,90.999,7t6vycmAt1sv71cG8xGcOQ,spotify:track:7t6vycmAt1sv71cG8xGcOQ,https://api.spotify.com/v1/tracks/7t6vycmAt1sv71cG8xGcOQ,https://api.spotify.com/v1/audio-analysis/7t6vycmAt1sv71cG8xGcOQ,181787,4
371,Daniel Johnston,True Love Will Find You in the End,52,"['alternative rock', 'anti-folk', 'indie rock', 'lo-fi', 'melancholia', 'outsider', 'singer-songwriter']",dvdvdvd,0.551,0.174,10,-12.116,0,0.0358,0.948,1.05e-05,0.107,0.135,118.656,6fEjOPaZoxQl3oha9GDJAN,spotify:track:6fEjOPaZoxQl3oha9GDJAN,https://api.spotify.com/v1/tracks/6fEjOPaZoxQl3oha9GDJAN,https://api.spotify.com/v1/audio-analysis/6fEjOPaZoxQl3oha9GDJAN,111171,4
372,Slowdive,Dagger,56,"['alternative rock', 'art pop', 'dream pop', 'nu gaze', 'reading indie', 'rock', 'shoegaze']","𝔬𝔫𝔢 𝔬𝔣 𝔱𝔥𝔬𝔰𝔢 𝔫𝔦𝔤𝔥𝔱𝔰 𝔞𝔤𝔞𝔦𝔫, 𝔥𝔲𝔥?",0.506,0.212,8,-21.046,0,0.0325,0.625,0.918,0.117,0.265,146.355,3MmRfG64qt04Efx9gK9Ec8,spotify:track:3MmRfG64qt04Efx9gK9Ec8,https://api.spotify.com/v1/tracks/3MmRfG64qt04Efx9gK9Ec8,https://api.spotify.com/v1/audio-analysis/3MmRfG64qt04Efx9gK9Ec8,218253,4
373,Elliott Smith,No Name No. 5,40,"['alternative rock', 'indie rock', 'melancholia', 'pop rock', 'rock', 'singer-songwriter']","𝔬𝔫𝔢 𝔬𝔣 𝔱𝔥𝔬𝔰𝔢 𝔫𝔦𝔤𝔥𝔱𝔰 𝔞𝔤𝔞𝔦𝔫, 𝔥𝔲𝔥?",0.506,0.199,0,-15.46,1,0.0294,0.324,0.0272,0.136,0.157,145.059,1o1lMBsa83sc5jMHRYSWLG,spotify:track:1o1lMBsa83sc5jMHRYSWLG,https://api.spotify.com/v1/tracks/1o1lMBsa83sc5jMHRYSWLG,https://api.spotify.com/v1/audio-analysis/1o1lMBsa83sc5jMHRYSWLG,223493,4
374,salvia palth,(dream),72,"['indie pop', 'lo-fi emo', 'lo-fi indie', 'slowcore', 'small room']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.328,0.301,0,-13.283,1,0.0366,0.926,0.825,0.118,0.167,147.398,39iczvfNkZstM8KY8dNDFC,spotify:track:39iczvfNkZstM8KY8dNDFC,https://api.spotify.com/v1/tracks/39iczvfNkZstM8KY8dNDFC,https://api.spotify.com/v1/audio-analysis/39iczvfNkZstM8KY8dNDFC,84741,4
375,Lomepal,Yeux disent,63,"['french hip hop', 'rap conscient']",🆁🅴🅰🅻 🆃🆁🅰🅿🅿🅸🅽',0.736,0.586,5,-8.152,0,0.197,0.553,2.21e-05,0.163,0.395,113.655,0RsI4r9abN1pSFJro36Hon,spotify:track:0RsI4r9abN1pSFJro36Hon,https://api.spotify.com/v1/tracks/0RsI4r9abN1pSFJro36Hon,https://api.spotify.com/v1/audio-analysis/0RsI4r9abN1pSFJro36Hon,212587,4
376,Beach House,Space Song,78,"['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop']",space cowboy,0.507,0.79,0,-7.307,0,0.0294,0.233,0.139,0.145,0.6,147.065,1ZgMsA55GIY7ICkQh5MILA,spotify:track:1ZgMsA55GIY7ICkQh5MILA,https://api.spotify.com/v1/tracks/1ZgMsA55GIY7ICkQh5MILA,https://api.spotify.com/v1/audio-analysis/1ZgMsA55GIY7ICkQh5MILA,320467,4
377,Joy Division,Disorder - 2007 Remaster,69,"['alternative rock', 'art rock', 'madchester', 'new wave', 'post-punk', 'rock', 'uk post-punk']",♥ 𝗱𝗿𝗲𝗮𝗺𝘆 ♥,0.32,0.798,10,-7.078,0,0.124,0.00033,0.692,0.176,0.74,84.696,5fbQCQt91LsVgXusFS0CCD,spotify:track:5fbQCQt91LsVgXusFS0CCD,https://api.spotify.com/v1/tracks/5fbQCQt91LsVgXusFS0CCD,https://api.spotify.com/v1/audio-analysis/5fbQCQt91LsVgXusFS0CCD,209040,4
378,Dead Kennedys,Your Emotions,22,"['early us punk', 'hardcore punk', 'punk', 'skate punk']",september '21,0.396,0.943,9,-10.912,1,0.0735,0.187,0.206,0.266,0.421,130.525,6TY7PwR802iGiPV6QUtWY9,spotify:track:6TY7PwR802iGiPV6QUtWY9,https://api.spotify.com/v1/tracks/6TY7PwR802iGiPV6QUtWY9,https://api.spotify.com/v1/audio-analysis/6TY7PwR802iGiPV6QUtWY9,80667,4
379,N.W.A.,Express Yourself,47,"['conscious hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",bassbassbassbassbass,0.855,0.718,8,-6.891,0,0.267,0.0428,0.0,0.204,0.961,95.054,55JYAswiVAIhO8mK2VVLe1,spotify:track:55JYAswiVAIhO8mK2VVLe1,https://api.spotify.com/v1/tracks/55JYAswiVAIhO8mK2VVLe1,https://api.spotify.com/v1/audio-analysis/55JYAswiVAIhO8mK2VVLe1,262867,4
380,Gazebo Penguins,Senza di te,34,"['italian alternative', 'italian emo', 'italian indie pop', 'italian post-hardcore']",17,0.212,0.814,11,-6.705,1,0.0352,9.81e-05,0.066,0.0714,0.452,171.386,1HzsQ0ZQuWL4MPk6fEQzxE,spotify:track:1HzsQ0ZQuWL4MPk6fEQzxE,https://api.spotify.com/v1/tracks/1HzsQ0ZQuWL4MPk6fEQzxE,https://api.spotify.com/v1/audio-analysis/1HzsQ0ZQuWL4MPk6fEQzxE,143373,3
381,Tauro Boys,Intro,16,"['hyperpop italiano', 'italian hip hop', 'italian indie pop']",𝔾𝔸𝕊,0.848,0.451,1,-7.192,1,0.295,0.505,0.00149,0.0813,0.261,166.064,4ft4u5YvB07i5XW0EGYmCd,spotify:track:4ft4u5YvB07i5XW0EGYmCd,https://api.spotify.com/v1/tracks/4ft4u5YvB07i5XW0EGYmCd,https://api.spotify.com/v1/audio-analysis/4ft4u5YvB07i5XW0EGYmCd,112771,4
382,The Kinks,You Really Got Me,70,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'singer-songwriter']",disco sadness,0.573,0.939,8,-6.441,1,0.0808,0.493,0.0,0.0994,0.963,137.382,29SyMC0plk6qw8NMF7lfRL,spotify:track:29SyMC0plk6qw8NMF7lfRL,https://api.spotify.com/v1/tracks/29SyMC0plk6qw8NMF7lfRL,https://api.spotify.com/v1/audio-analysis/29SyMC0plk6qw8NMF7lfRL,134253,4
383,Television,Marquee Moon,54,"['alternative rock', 'art punk', 'art rock', 'experimental', 'indie rock', 'new wave', 'no wave', 'post-punk', 'protopunk', 'psychedelic rock', 'punk', 'punk blues', 'singer-songwriter']",london calling,0.49,0.536,7,-10.83,1,0.0382,0.0391,0.371,0.116,0.732,118.008,7Me0vOSlJfaPY7Pc4GeItd,spotify:track:7Me0vOSlJfaPY7Pc4GeItd,https://api.spotify.com/v1/tracks/7Me0vOSlJfaPY7Pc4GeItd,https://api.spotify.com/v1/audio-analysis/7Me0vOSlJfaPY7Pc4GeItd,638427,4
384,Dutch Nazari,Calma le onde,45,['italian indie pop'],𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.628,0.562,11,-6.713,1,0.13,0.0089,0.0,0.0942,0.539,119.84,2z7fxLBvBAcfkS6tsDKAQF,spotify:track:2z7fxLBvBAcfkS6tsDKAQF,https://api.spotify.com/v1/tracks/2z7fxLBvBAcfkS6tsDKAQF,https://api.spotify.com/v1/audio-analysis/2z7fxLBvBAcfkS6tsDKAQF,185000,4
385,Speranza,IRIS,38,"['drill italiana', 'italian hip hop', 'trap italiana']",𝖑𝖆𝖘𝖙 𝖜𝖔𝖗𝖉𝖘,0.688,0.786,9,-5.687,0,0.126,0.376,0.0,0.367,0.354,104.887,66VKRuRnxWmGWPgDUwgCnM,spotify:track:66VKRuRnxWmGWPgDUwgCnM,https://api.spotify.com/v1/tracks/66VKRuRnxWmGWPgDUwgCnM,https://api.spotify.com/v1/audio-analysis/66VKRuRnxWmGWPgDUwgCnM,168493,4
386,CASIOPEA,ティアーズ・オブ・ザ・スター,46,"['japanese jazz', 'japanese jazz fusion', 'jazz fusion']",ｍｏｏｄｙ ｅａｒｇａｓｍ,0.596,0.357,0,-12.447,0,0.031,0.308,0.625,0.0959,0.112,129.097,15DKVRxHhKqRmIE2L6G82h,spotify:track:15DKVRxHhKqRmIE2L6G82h,https://api.spotify.com/v1/tracks/15DKVRxHhKqRmIE2L6G82h,https://api.spotify.com/v1/audio-analysis/15DKVRxHhKqRmIE2L6G82h,272600,4
387,Giovanni Truppi,Il Mondo È Come Te Lo Metti in Testa,18,['italian indie pop'],january '22,0.532,0.475,10,-7.867,0,0.0691,0.133,0.0,0.108,0.298,76.229,7M8hFSSO10lj9aLjKPThDJ,spotify:track:7M8hFSSO10lj9aLjKPThDJ,https://api.spotify.com/v1/tracks/7M8hFSSO10lj9aLjKPThDJ,https://api.spotify.com/v1/audio-analysis/7M8hFSSO10lj9aLjKPThDJ,181507,4
388,Afterhours,Veleno - Remastered,27,"['italian alternative', 'italian indie pop']",march '22,0.286,0.875,11,-2.168,0,0.0487,0.00701,4.18e-05,0.254,0.636,154.096,3QGvWstiKc0Pa28zhHngO6,spotify:track:3QGvWstiKc0Pa28zhHngO6,https://api.spotify.com/v1/tracks/3QGvWstiKc0Pa28zhHngO6,https://api.spotify.com/v1/audio-analysis/3QGvWstiKc0Pa28zhHngO6,225333,4
389,Explosions In The Sky,It's Natural to Be Afraid,18,"['american post-rock', 'cinematic post-rock', 'instrumental post-rock', 'melancholia', 'post-rock']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.218,0.52,5,-9.46,1,0.0461,0.11,0.766,0.139,0.0463,105.993,7dC5RuWFaU5QPuXYxOwPKV,spotify:track:7dC5RuWFaU5QPuXYxOwPKV,https://api.spotify.com/v1/tracks/7dC5RuWFaU5QPuXYxOwPKV,https://api.spotify.com/v1/audio-analysis/7dC5RuWFaU5QPuXYxOwPKV,807213,4
390,Scarlxrd,Heart Attack,63,"['dark trap', 'scream rap', 'underground hip hop']",D҉E҉S҉P҉A҉I҉R҉,0.585,0.895,11,-3.663,0,0.136,0.0505,0.00423,0.32,0.181,119.904,7Cq27Qc3WRyQ3ddwVslpVZ,spotify:track:7Cq27Qc3WRyQ3ddwVslpVZ,https://api.spotify.com/v1/tracks/7Cq27Qc3WRyQ3ddwVslpVZ,https://api.spotify.com/v1/audio-analysis/7Cq27Qc3WRyQ3ddwVslpVZ,193567,4
391,Yoko Shimomura,OMNIS LACRIMA,36,"['anime score', 'chiptune', 'japanese vgm']",u fucking nerd,0.226,0.54,8,-6.99,1,0.0282,0.452,0.939,0.53,0.268,89.967,4Vy8J8AAM5vzhCQnsxIqjg,spotify:track:4Vy8J8AAM5vzhCQnsxIqjg,https://api.spotify.com/v1/tracks/4Vy8J8AAM5vzhCQnsxIqjg,https://api.spotify.com/v1/audio-analysis/4Vy8J8AAM5vzhCQnsxIqjg,271467,3
392,Zardonic,Superhot,50,"['darkstep', 'future rock']",u fucking nerd,0.335,0.773,9,-8.233,1,0.0552,0.000664,0.709,0.0743,0.14,174.896,6Medv8GdopmXC8eSfI21eP,spotify:track:6Medv8GdopmXC8eSfI21eP,https://api.spotify.com/v1/tracks/6Medv8GdopmXC8eSfI21eP,https://api.spotify.com/v1/audio-analysis/6Medv8GdopmXC8eSfI21eP,74693,3
393,Tauro Boys,Potrebbe Essere,19,"['hyperpop italiano', 'italian hip hop', 'italian indie pop']",🆁🅴🅰🅻 🆃🆁🅰🅿🅿🅸🅽',0.665,0.833,5,-7.309,0,0.0794,0.0342,0.000187,0.208,0.202,139.983,4V0bEoBm27uQbl6Iya6zH6,spotify:track:4V0bEoBm27uQbl6Iya6zH6,https://api.spotify.com/v1/tracks/4V0bEoBm27uQbl6Iya6zH6,https://api.spotify.com/v1/audio-analysis/4V0bEoBm27uQbl6Iya6zH6,99429,4
394,Frank Ocean,Godspeed,74,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",january '22,0.399,0.0969,6,-12.578,1,0.0509,0.929,0.000168,0.121,0.0758,109.54,34xTFwjPQ1dC6uJmleno7x,spotify:track:34xTFwjPQ1dC6uJmleno7x,https://api.spotify.com/v1/tracks/34xTFwjPQ1dC6uJmleno7x,https://api.spotify.com/v1/audio-analysis/34xTFwjPQ1dC6uJmleno7x,177922,4
395,Giovanni Truppi,Il Mondo È Come Te Lo Metti in Testa. Ripresa,4,['italian indie pop'],𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.496,0.276,10,-7.251,1,0.0462,0.438,0.0,0.291,0.197,93.319,3hmOOQi3EmiRLU4SSZ2mo8,spotify:track:3hmOOQi3EmiRLU4SSZ2mo8,https://api.spotify.com/v1/tracks/3hmOOQi3EmiRLU4SSZ2mo8,https://api.spotify.com/v1/audio-analysis/3hmOOQi3EmiRLU4SSZ2mo8,223173,4
396,Kingo Hamada,midnight cruisin',52,['classic city pop'],ｓｈｉｂｕｙａ,0.802,0.704,0,-7.896,0,0.0432,0.181,0.000912,0.284,0.92,121.85,37NPLfEZQQ0rZTa9SRqWBL,spotify:track:37NPLfEZQQ0rZTa9SRqWBL,https://api.spotify.com/v1/tracks/37NPLfEZQQ0rZTa9SRqWBL,https://api.spotify.com/v1/audio-analysis/37NPLfEZQQ0rZTa9SRqWBL,283000,4
397,Verdena,Luna,46,"['bergamo indie', 'italian alternative', 'italian indie pop']",𝘔𝘖𝘖𝘕 𝘠𝘖𝘜 𝘘𝘜𝘌𝘌𝘕!!,0.471,0.833,3,-6.481,0,0.0595,0.0121,0.401,0.138,0.232,130.632,2csrNRw79byYY48HPXWuDo,spotify:track:2csrNRw79byYY48HPXWuDo,https://api.spotify.com/v1/tracks/2csrNRw79byYY48HPXWuDo,https://api.spotify.com/v1/audio-analysis/2csrNRw79byYY48HPXWuDo,212307,4
398,２８１４,テレパシー,34,"['cyberpunk', 'dreampunk', 'hardvapour', 'slushwave', 'vaporwave']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.066,0.459,1,-18.112,1,0.13,0.929,0.936,0.146,0.0842,66.361,6YZPqO0y6yFXvPLJRecRfZ,spotify:track:6YZPqO0y6yFXvPLJRecRfZ,https://api.spotify.com/v1/tracks/6YZPqO0y6yFXvPLJRecRfZ,https://api.spotify.com/v1/audio-analysis/6YZPqO0y6yFXvPLJRecRfZ,608000,4
399,Afterhours,Lasciami Leccare L'adrenalina,31,"['italian alternative', 'italian indie pop']",17,0.0915,0.962,0,-4.317,1,0.223,0.465,0.0,0.218,0.228,178.704,6N0lmD3UgU4XH1i5kPA3PR,spotify:track:6N0lmD3UgU4XH1i5kPA3PR,https://api.spotify.com/v1/tracks/6N0lmD3UgU4XH1i5kPA3PR,https://api.spotify.com/v1/audio-analysis/6N0lmD3UgU4XH1i5kPA3PR,78680,4
400,流線形,kanashiikurai diamond,38,"['city pop', 'classic city pop', 'japanese jazz']",ｓｈｉｂｕｙａ,0.586,0.712,7,-5.281,0,0.0291,0.0138,7.78e-05,0.0866,0.375,123.97,3UjlRMbk2LX5vYXGScJm3u,spotify:track:3UjlRMbk2LX5vYXGScJm3u,https://api.spotify.com/v1/tracks/3UjlRMbk2LX5vYXGScJm3u,https://api.spotify.com/v1/audio-analysis/3UjlRMbk2LX5vYXGScJm3u,235200,4
401,Patron Saint of Bridge Burners,The Worst Best Dream I Ever Had,34,['lo-fi emo'],🪀,0.466,0.653,8,-8.36,1,0.117,0.368,0.0,0.158,0.304,73.908,3tHmlbnxEBhqo57A9P8GnQ,spotify:track:3tHmlbnxEBhqo57A9P8GnQ,https://api.spotify.com/v1/tracks/3tHmlbnxEBhqo57A9P8GnQ,https://api.spotify.com/v1/audio-analysis/3tHmlbnxEBhqo57A9P8GnQ,241579,4
402,Nu Genea,Tienaté,61,"['indie napoletano', 'neapolitan funk']",mancu i cani,0.699,0.806,0,-7.428,1,0.0507,0.096,0.00839,0.349,0.953,118.806,1SIXMGcsAeA6sNxaY1EG3O,spotify:track:1SIXMGcsAeA6sNxaY1EG3O,https://api.spotify.com/v1/tracks/1SIXMGcsAeA6sNxaY1EG3O,https://api.spotify.com/v1/audio-analysis/1SIXMGcsAeA6sNxaY1EG3O,278029,4
403,72-HOUR POST FIGHT,DEATH,16,['milan indie'],ｍｏｏｄｙ ｅａｒｇａｓｍ,0.567,0.352,7,-11.206,1,0.045,0.656,0.928,0.225,0.219,131.233,1UcX8n2sLUkEBryakswvVR,spotify:track:1UcX8n2sLUkEBryakswvVR,https://api.spotify.com/v1/tracks/1UcX8n2sLUkEBryakswvVR,https://api.spotify.com/v1/audio-analysis/1UcX8n2sLUkEBryakswvVR,115194,4
404,Radiohead,Let Down,66,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",december '22,0.351,0.676,9,-9.017,1,0.0313,0.000121,0.113,0.18,0.143,102.46,2fuYa3Lx06QQJAm0MjztKr,spotify:track:2fuYa3Lx06QQJAm0MjztKr,https://api.spotify.com/v1/tracks/2fuYa3Lx06QQJAm0MjztKr,https://api.spotify.com/v1/audio-analysis/2fuYa3Lx06QQJAm0MjztKr,299560,4
405,Namco Sounds,Tonight Is the Night,20,['japanese vgm'],u fucking nerd,0.211,0.582,4,-4.056,1,0.0415,1.48e-06,0.922,0.246,0.302,174.314,0NbG0itSlEqv7V2nwsZyhz,spotify:track:0NbG0itSlEqv7V2nwsZyhz,https://api.spotify.com/v1/tracks/0NbG0itSlEqv7V2nwsZyhz,https://api.spotify.com/v1/audio-analysis/0NbG0itSlEqv7V2nwsZyhz,134696,4
406,Frank Ocean,Solo (Reprise),61,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",🌱,0.669,0.749,7,-6.811,0,0.141,0.413,0.0,0.0848,0.608,80.169,2qtoRFCOEL1gRn5q9DJC7F,spotify:track:2qtoRFCOEL1gRn5q9DJC7F,https://api.spotify.com/v1/tracks/2qtoRFCOEL1gRn5q9DJC7F,https://api.spotify.com/v1/audio-analysis/2qtoRFCOEL1gRn5q9DJC7F,78743,4
407,Frah Quintale,Sabato nel parco,18,"['italian hip hop', 'italian indie pop', 'milan indie']",just another boring week,0.908,0.65,4,-6.815,0,0.0441,0.0312,3.47e-05,0.303,0.282,110.016,5uO67s8vtcHwTreXAAAzil,spotify:track:5uO67s8vtcHwTreXAAAzil,https://api.spotify.com/v1/tracks/5uO67s8vtcHwTreXAAAzil,https://api.spotify.com/v1/audio-analysis/5uO67s8vtcHwTreXAAAzil,176727,4
408,My Girl Is Retro,I muri,5,[],【﻿ｍｅｌａｎｃｈｏｌｉａ】,0.299,0.478,7,-6.513,1,0.0321,0.00248,0.000461,0.129,0.118,108.773,3akUl4itoYBxQRHxrLrFkm,spotify:track:3akUl4itoYBxQRHxrLrFkm,https://api.spotify.com/v1/tracks/3akUl4itoYBxQRHxrLrFkm,https://api.spotify.com/v1/audio-analysis/3akUl4itoYBxQRHxrLrFkm,201159,5
409,Bassi Maestro,Foto di gruppo,48,"['italian hip hop', 'italian underground hip hop', 'rap italiano old school']",hip h໐p ¢นlt,0.879,0.468,2,-5.822,1,0.284,0.227,8.12e-06,0.0986,0.537,92.0,5n3qlxzpHwmPbu3UUplyLy,spotify:track:5n3qlxzpHwmPbu3UUplyLy,https://api.spotify.com/v1/tracks/5n3qlxzpHwmPbu3UUplyLy,https://api.spotify.com/v1/audio-analysis/5n3qlxzpHwmPbu3UUplyLy,210947,4
410,MGMT,Your Life Is a Lie,33,"['alternative dance', 'indietronica', 'modern rock', 'rock']",♥ 𝗱𝗿𝗲𝗮𝗺𝘆 ♥,0.527,0.968,0,-0.94,1,0.0702,0.248,9.78e-06,0.245,0.221,127.936,0MVE8I80hHgzidIMT0wghI,spotify:track:0MVE8I80hHgzidIMT0wghI,https://api.spotify.com/v1/tracks/0MVE8I80hHgzidIMT0wghI,https://api.spotify.com/v1/audio-analysis/0MVE8I80hHgzidIMT0wghI,126013,4
411,The Smashing Pumpkins,Luna - 2011 Remaster,54,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock', 'spacegrunge']",𝘔𝘖𝘖𝘕 𝘠𝘖𝘜 𝘘𝘜𝘌𝘌𝘕!!,0.575,0.274,9,-13.553,1,0.0286,0.0111,0.776,0.123,0.112,125.652,2SRBtj64W0Wbs7YMbmxFBw,spotify:track:2SRBtj64W0Wbs7YMbmxFBw,https://api.spotify.com/v1/tracks/2SRBtj64W0Wbs7YMbmxFBw,https://api.spotify.com/v1/audio-analysis/2SRBtj64W0Wbs7YMbmxFBw,202320,4
412,Nobuo Uematsu,FFVII REMAKE: エアバスター (The Airbuster),44,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']",u fucking nerd,0.358,0.892,5,-8.111,1,0.0589,2.45e-06,0.816,0.12,0.226,82.02,639uuHc8GEMMW1UtcHqTmj,spotify:track:639uuHc8GEMMW1UtcHqTmj,https://api.spotify.com/v1/tracks/639uuHc8GEMMW1UtcHqTmj,https://api.spotify.com/v1/audio-analysis/639uuHc8GEMMW1UtcHqTmj,454253,4
